,names,x,y,z
210,Aaron Wan-Bissaka,-798.0149321667703,-278.4705739892716,-218.10994935578017
211,Adam Webster,5883.298746589411,-194.8102881302007,-171.09064026202964
212,Alex Scott,-6433.063190475962,-341.90281185075673,121.80350657896109
213,Andreas Pereira,5138.676618151294,-737.3358392200083,43.464147130049795
214,Beto,-11116.264673238862,142.6048093365908,-40.20286881998289
215,Caoimh?n Kelleher,-3114.526278677283,2654.019725011211,527.5654298437217
216,Casemiro,9381.42420422539,898.4440830440068,-1167.5904936068416
217,Dango Ouattara,-5988.022343427009,-360.73182041981346,635.8209131802853
218,Issa Diop,6793.331141506701,-35.712161559114435,173.358899636111
219,Jean-Philippe Mateta,-8278.204441485297,-647.9752317020775,191.56527949276185
220,Jefferson Lerma,4380.121906165891,-79.61255127991684,-1250.8788884560254
221,Jhon Dur?n,-11616.92530794456,440.42680054344834,-415.4810442160994
222,Konstantinos Mavropanos,-1996.0715263569402,742.1555323080449,-81.98341236304016
223,Marcus Tavernier,-515.4681141706404,-1484.5546585256902,1761.4670434331792
224,Miguel Almir?n,-2695.001785997904,-2171.174498237272,1268.8998089592935
225,Milos Kerkez,-1762.128804872713,-275.6876149088994,390.07614389244867
226,Nicol? Zaniolo,-10192.199773468712,-281.0622945428581,640.5563851204236
227,Orel Mangala,-3159.515204617018,-357.2299291455759,-864.5110760202176
228,Rico Henry,-10278.844303509892,546.2476494052623,-405.9729087624901
229,Robert S?nchez,1220.30883086345,3872.754546459541,341.08447669256526
230,Rodrigo Muniz,-10563.95757926333,303.9875988308143,-370.31483402302075
231,Sa?d Benrahma,-9846.115027393667,-294.4528416157774,291.22419121649676
232,Sander Berge,13099.287218874111,-3497.5305861076426,-990.3286328403793
233,Tosin Adarabioyo,10453.11746099668,552.9423372866577,-227.677052961185
234,Anthony Elanga,-4901.674569661506,-2075.179882519531,2249.340716074278
235,Armando Broja,-11520.622976400076,192.2891326932064,-132.50046238055606
236,Carlos Baleba,-1511.017554652925,-1269.0377481859218,-691.3193174507693
237,Dominic Calvert-Lewin,-9350.721198004947,-548.6161713047376,521.2147395333626
238,Dwight McNeil,4188.388921800769,-1461.0656891265214,1624.4719234444665
239,Emile Smith Rowe,-10180.636418319076,187.608562453714,-429.4790422349204
240,Fabio Vieira,-10731.47962898907,401.95528127893164,-555.6411961868348
241,James Garner,4529.308092621859,-1067.8622861486047,-859.249959318658
242,Jarell Quansah,7773.855252339151,-637.1009102415547,57.84012638862301
243,Jordan Pickford,28119.650547960417,12997.182188713354,4810.447931669306
244,Julio Enciso,-10593.383445546287,84.86948097361775,311.60488813485034
245,Kevin Schade,-11848.367658382595,439.60057849348095,-197.9139591689145
246,Lewis Miley,-5766.417500947349,-195.54370584501578,-729.682389996915
247,Marcos Senesi,11741.105828331225,1369.29412659338,451.46302061686913
248,Philip Billing,-6160.917055033928,-43.76529952808436,-325.8546690158648
249,Sofyan Amrabat,-1799.3491792747973,-334.9661687658459,-941.3662707965719
250,Vitaly Janelt,6126.98295331815,-612.4124984402633,-1324.0403434945176
251,Aaron Ramsdale,-8791.484984304985,1779.1374119589395,-57.10818899364582
252,Alex Iwobi,3294.6501466548084,-1996.4365355310356,2177.170401923578
253,Ansu Fati,-10238.801859869143,129.95006232259982,-242.47124564604889
254,Antonee Robinson,17735.5411023776,-1008.1026114141222,1105.4259031989961
255,Antony,-5601.178556133133,-1355.3838105300986,1472.1303260784048
256,Kalvin Phillips,-8995.637140167362,222.25208859775455,-566.5739089449637
257,Lesley Ugochukwu,-10120.864646568798,474.25833852891765,-578.9191627935865
258,Marc Cucurella,3461.1345695798486,-412.66277994634845,-1315.296211567322
259,Nathan Collins,13094.729682421932,614.0308126290363,-685.8397428435854
260,Oscar Bobb,-10592.444730057265,344.47130258994537,-436.288848770789
261,Radu Dr?gu?in,-6638.610147118557,265.64791457329414,-387.40851282613755
262,Sean Longstaff,3934.9822201371094,-249.22829261986027,-896.8254366719027
263,Tyrick Mitchell,8012.660102494494,1512.9876193386538,-830.1596562445413
264,Youri Tielemans,1241.637748146694,-220.15701355869916,-791.2889800224534
265,Aaron Hickey,-8728.67225554746,126.41640989908083,-526.0601289162915
266,Alisson,12406.925889950851,5438.817769481924,1097.3091236471787
267,Ben Chilwell,-7006.248085626004,-33.805326691888226,-169.04108234148808
268,Joe Gomez,7659.719926447272,-1543.7304356202992,-725.4194479425881
269,Mathias Jensen,6168.358944449465,797.2109588450772,-1369.8590503694497
270,Matty Cash,4953.7555937492725,-1217.8571069791226,286.5508543616755
271,Noni Madueke,-6360.151646037731,-1414.6256138905321,1556.973449862373
272,Taiwo Awoniyi,-11052.604321442792,255.87641202856005,-328.01836360505285
273,Vitaliy Mykolenko,2387.520919601929,1238.0371245763317,-733.9832950860877
274,Yoane Wissa,-7755.543947920057,-771.7317062400031,928.0401278064516
275,Adam Wharton,-4117.773682928502,318.62458580857424,-1041.3921619538485
276,Andrew Robertson,10567.588955189573,-350.1507886581336,-571.1859770216835
277,Beno?t Badiashile,7756.098744732577,985.9370930702718,-1171.6951179557673
278,Eddie Nketiah,-10283.404741767765,-175.00109566139247,-190.18412936397308
279,Ibrahim Sangar?,-6875.755943272543,343.66043621168836,-702.8462649309344
280,Jadon Sancho,-12312.340044130386,620.4552978318529,-391.54930538285475
281,Jakub Kiwior,-3533.3852571061175,770.6916826619516,-1129.3103501083876
282,James Ward-Prowse,12137.479223204873,-384.5938304046799,-2255.058496199486
283,Joe Willock,-10450.239074257193,382.08331296832114,-187.03702126927715
284,John McGinn,7051.706957270539,-1001.459700574107,333.61011648410494
285,Mateo Kova?i?,9260.722049363996,-3136.140875003853,-303.22403635419573
286,Pervis Estupi??n,105.82890187157882,-512.4239480986747,-224.3632525754206
287,Simon Adingra,-2724.9469504311196,-2665.999429843815,2042.496129384891
288,Tom?? Sou?ek,-559.5405862485187,303.7502582529473,-1486.2275273075727
289,Virgil van Dijk,41666.67025783343,924.6366566588727,-782.9337754145753
290,Luke Shaw,-3663.8146349704793,608.2359982569785,-498.8171568350378
291,Max Kilman,27617.363926331953,11.632874418967122,-1050.1824433225884
292,Scott McTominay,-4259.629062524672,-496.9710082119047,-458.5960519598242
293,Andr? Onana,20123.082609940462,7655.923315457533,3696.2281375450366
294,Cheick Doucour?,-6597.147582111082,447.2044291549571,-754.166340020476
295,Curtis Jones,-1689.657488118314,-1459.6979407032618,-324.39615805304186
296,David Raya,11030.849817844954,6781.367048990079,1732.630819161211
297,Diogo Dalot,14413.709058534803,-813.7347886551051,-801.6246795398035
298,Edson ?lvarez,6039.709741028005,-1261.251098382339,251.99420300742244
299,Ezri Konsa,22157.336040519425,-884.1518996930628,-790.9329460046685
300,Guglielmo Vicario,17495.518225926462,5841.13721454519,1081.341477676205
301,Harvey Barnes,-9351.234116761192,-275.528339951393,458.61517031541644
302,Harvey Elliott,1310.9745971808754,-1603.385577807038,-246.8711956793142
303,Jacob Ramsey,-8622.568062855476,-294.03524599463844,115.80309769433241
304,Jo?o Gomes,3798.287235826051,-1242.62969938,-628.5992017088566
305,Joachim Andersen,29017.68234256569,1230.936596157536,-734.6128006722222
306,Leandro Trossard,-4154.900620472968,-1316.6301978515014,950.9913151717686
307,Malo Gusto,6546.743273943602,-1785.734732808594,462.1660705617263
308,Mason Mount,-10148.326069974131,430.8589121127917,-409.21551923407543
309,Murillo,13471.5557010786,1714.997137669791,1120.8781962031023
310,Nayef Aguerd,9603.071612027728,1672.7020107573478,141.64864192714518
311,Nicolas Jackson,-5096.446802629302,-1955.7504259185348,2013.3229523787254
312,Raheem Sterling,-4295.370812693789,-2311.931646716619,2730.3903998279648
313,Rayan A?t-Nouri,2714.8558884710956,-1726.2286361554775,751.0998183648545
314,Rodrigo Bentancur,-1968.7558382610657,-720.0458249487525,-521.7901117988004
315,Rom?o Lavia,-12481.513048285862,716.3455401347272,-607.4878859275761
316,Ryan Gravenberch,-6474.779931489554,-430.4264125185823,558.7881075686806
317,Takehiro Tomiyasu,-3135.92826113458,-234.4585707405158,-653.2356748442228
318,Yves Bissouma,14634.96834082923,-2464.9610159508034,22.238984909453976
319,Boubacar Kamara,2427.4675874650047,-859.014099642865,-610.4889462356015
320,John Stones,424.79555144018366,-1253.6491553672795,-616.8641700962207
321,Jurri?n Timber,-11795.530908935525,629.8499961774247,-603.9491818103728
322,Marc Gu?hi,11968.97808133678,450.5027700625865,-1293.099511840538
323,Oleksandr Zinchenko,12139.780921877269,-979.8998610455175,-1353.2374869733342
324,Richarlison,-8579.064865227281,-211.82415854445912,23.094004753210463
325,Rico Lewis,-5407.691077794555,-805.6341732433286,-902.5177931840494
326,Sandro Tonali,-8808.63582804692,186.10514705712814,-672.1342108149819
327,Axel Disasi,24523.94478730752,-877.1920178283935,-807.4395993257513
328,Bryan Mbeumo,-3627.1883711815467,-1360.273354449204,1744.5341244609706
329,Dominic Solanke,-6720.444575700747,-1362.663542814051,1707.2421390168906
330,Ederson,18011.229083877915,8270.542083775506,1344.0740621862883
331,Ian Maatsen,-11334.003948058351,512.7156670352198,-339.42156996265834
332,Joelinton,-4854.374106844088,-447.4813697467743,-348.9113816264417
333,Morgan Gibbs-White,7748.182398429319,-1295.815051131421,838.8574270390421
334,Nathan Ak?,16001.444473137919,-980.5565467485502,-340.5446499293067
335,Reece James,-7989.969248245849,406.7664448848773,-556.5702724405152
336,Jarrad Branthwaite,9777.905137607497,1458.4119885246319,-1538.2348257546948
337,Leon Bailey,-2347.221029368751,-1899.3210685891409,2166.031877349895
338,Alejandro Garnacho,-1754.1311105249615,-4619.2277140916885,4417.057345821255
339,Destiny Udogie,6039.848159380532,-2031.0729068725584,1506.8725717670698
340,Ibrahima Konat?,12794.15506903521,238.50218187764682,818.5790881197764
341,Jo?o Pedro,-2851.1075139692616,-2385.8176190063914,1789.47432103659
342,Kaoru Mitoma,-5262.352787710049,-2238.1973560173865,2774.3751245512117
343,Lisandro Mart?nez,-5305.60801063541,109.52194617076727,-383.90079062361576
344,Manuel Akanji,25695.435348337716,-3279.667643102465,-939.4826585596362
345,Matheus Cunha,-2322.7269393689326,-2516.8059067069344,2759.157106626238
346,Pape Matar Sarr,5894.320530561193,-2600.63874968694,393.57665263732304
347,Pau Torres,19694.765810242658,-2366.2272745951955,2287.4699099868253
348,Pedro Porro,17718.976094043042,418.9337980495397,-644.2555951078207
349,Sven Botman,5936.93121733954,1339.3730303116872,-1097.9801564601
350,Brennan Johnson,-3655.284382633361,-1839.862405884723,1527.0974002779408
351,Amadou Onana,2796.034223727278,-606.9062558782803,-1267.7628574998525
352,Cody Gakpo,-5779.808313449974,-834.8541922784058,813.1603635487057
353,Conor Gallagher,15772.153696703084,-3940.8777862881775,-937.4378572699022
354,Diogo Jota,-8243.412731202343,-561.8450548020514,481.60922402408954
355,Evan Ferguson,-9585.432261586635,-298.4541035312543,-366.63059984719104
356,Jarrod Bowen,-4600.944050395337,-1918.6390104586599,2225.541148577356
357,Kevin De Bruyne,-202.318109797165,-625.650675428235,-376.1704377442772
358,Kobbie Mainoo,-1357.8362377559997,-1038.737315300808,-274.2656962664821
359,Levi Colwill,5241.315119480113,255.58360147740635,-410.84615471886445
360,Matheus Nunes,-6115.367334813415,-1145.7496822558865,189.2661358923673
361,Mohammed Kudus,-123.02327918324616,-3932.347725386745,2628.529755137987
362,Ben White,17806.291034611473,97.5997415864598,-1708.4331901949538
363,Dejan Kulusevski,2865.4920840140558,-3532.032511719558,3447.0100355685518
364,Eberechi Eze,-213.7020582171971,-1598.4502434030367,1275.2061651900008
365,Jo?o Palhinha,7432.075804794875,-339.4313928717297,-2575.6920391093545
366,Michael Olise,-2986.123429544256,-1146.0667199791499,1364.865679143427
367,Micky van de Ven,19845.50004548051,-465.6579783181019,-832.2015202657512
368,Mohamed Salah,-328.3081858991554,-1968.7157340731999,1974.715906784636
369,Pedro Neto,-3264.5801984867526,-2112.9520282750354,2056.1509242281136
370,Anthony Gordon,1387.7150698010055,-3144.8431758030965,3781.6237352167427
371,Cristian Romero,33546.267894886754,204.5416087192694,862.4875092842171
372,Jack Grealish,-4956.7036167561,-2083.7562386697573,1245.5823204760275
373,Marcus Rashford,-3769.4865142409117,-2000.1267320740435,2234.1156628583763
374,Christopher Nkunku,-10584.624068299512,457.799275172556,-493.6438446335717
