,link,Player_id,Name,nationality,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,progressive_carries,progressive_passes,progressive_passes_received,shots,shots_on_target,average_shot_distance,xg_net,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed.1,passes_offsides,passes_blocked,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocked_shots,blocked_passes,interceptions,clearances,errors,games_complete,games_subs,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus_wowy,on_xg_for,on_xg_against,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,gk_goals_against,gk_shots_on_target_against,gk_saves,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_passes_completed_launched,gk_passes_launched,gk_passes,gk_passes_throws,gk_passes_length_avg,gk_goal_kicks,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,value_millions,x,y,img
493,https://fbref.com/en/players/f553b2b3/Jorgen-Strand-Larsen,120250494,Jorgen Strand Larsen,NOR,FW,Wolves,24,35,30,2587,28.7,14,4,0,0,4,0,10.3,10.3,3,17,29,112,54,33,11.3,3.7,42,33,1,1,3,2,2,6,6,0,0,0,0,0,295,457,3818,697,182,254,73,112,14,20,1,21,19,4,1,443,14,0,1,2,6,0,0,0,0,0,295,0,19,36,85,348,304,108,736,20,8,11,345,1194,464,14,9,90,34,534,10,6,2,3,5,4,27,23,4,15,6,29,0,11,5,0,1.11,43,52,0.34,32.3,43.2,0,46,19,16,0,0,0,42,67,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5888.562055,-371.4462602,https://fbref.com/req/202302030/images/headshots/f553b2b3_2022.jpg
494,https://fbref.com/en/players/580bcd18/Yukinari-Sugawara,120250495,Yukinari Sugawara,JPN,DF,Southampton,24,30,16,1557,17.3,1,1,0,0,4,0,0.5,0.5,2.2,33,72,78,14,5,20.2,0.5,39,30,5,1,3,0,0,1,1,0,0,0,0,0,713,891,11241,3454,377,427,282,339,37,76,2.5,17,47,21,9,765,124,17,1,7,70,97,10,4,6,0,713,2,22,67,327,410,334,29,1066,20,9,10,564,2569,1384,16,7,18,5,709,31,18,16,14,1,19,31,12,10,11,11,53,3,6,14,5,0.33,13,46,-0.6,16.9,40.2,0,15,10,4,0,2,0,44,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2255.27625,-312.1505749,https://fbref.com/req/202302030/images/headshots/580bcd18_2022.jpg
495,https://fbref.com/en/players/a62f8bf1/Kamaldeen-Sulemana,120250496,Kamaldeen Sulemana,GHA,FW,Southampton,22,26,17,1402,15.6,1,1,0,0,2,0,1.5,1.5,1,63,27,87,29,8,18.6,-0.5,30,15,1,10,3,1,0,3,1,0,1,1,0,0,285,357,4101,627,177,201,86,103,13,28,0.8,10,6,13,7,354,2,0,0,2,26,2,0,0,0,0,285,1,9,17,92,219,301,59,587,103,39,56,380,3283,1620,37,28,50,25,410,22,17,9,5,8,10,15,5,4,12,6,9,0,5,9,2,0.27,11,36,-0.04,10,34.8,0,22,11,3,0,0,0,63,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5169.258907,-1633.367468,https://fbref.com/req/202302030/images/headshots/a62f8bf1_2022.jpg
496,https://fbref.com/en/players/df04eb4b/Crysencio-Summerville,120250497,Crysencio Summerville,NED,FW,West Ham,22,19,7,786,8.7,1,1,0,0,2,0,1.6,1.6,1.7,29,18,71,14,4,13.4,-0.6,35,21,3,5,0,5,1,1,1,0,0,0,0,0,194,254,2881,640,125,148,55,62,11,22,1.7,17,13,12,5,241,13,2,3,0,21,2,8,6,0,0,194,0,13,9,47,147,181,38,372,39,13,18,207,1463,762,15,13,20,16,259,13,7,2,8,3,3,9,6,4,9,0,7,0,1,12,1,1.05,13,20,-0.49,13.6,17.1,0,9,23,4,0,0,0,38,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6756.310866,-319.5157655,https://fbref.com/req/202302030/images/headshots/df04eb4b_2022.jpg
497,https://fbref.com/en/players/39944392/Sammie-Szmodics,120250498,Sammie Szmodics,IRL,FW,Ipswich Town,28,20,13,992,11,4,0,0,0,2,0,3.4,3.4,0.2,16,19,47,21,12,14,0.6,10,8,0,1,1,0,0,0,0,0,0,0,0,0,149,201,2458,724,72,82,54,65,15,29,0.5,5,11,4,1,190,11,1,0,0,14,0,6,6,0,0,149,0,13,17,80,125,119,33,318,12,4,6,179,1003,407,8,7,24,17,193,16,10,4,10,2,7,26,19,2,8,6,14,0,0,7,2,0.65,11,18,0.81,11.4,22.8,0,9,8,8,0,1,0,42,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7252.891417,145.4356935,https://fbref.com/req/202302030/images/headshots/39944392_2022.jpg
498,https://fbref.com/en/players/934e1968/Dominik-Szoboszlai,120250499,Dominik Szoboszlai,HUN,MF,Liverpool,23,36,29,2491,27.7,6,6,0,0,6,0,7.3,7.3,7.4,72,131,127,67,22,18.9,-1.3,119,90,7,5,13,3,1,16,12,1,0,3,0,0,1114,1322,17528,3641,601,671,366,416,95,133,5.9,56,88,33,5,1202,118,21,5,14,41,36,17,9,6,0,1114,2,27,32,220,761,626,104,1584,41,21,17,805,4223,2372,49,18,37,23,1073,38,20,14,19,5,17,45,28,5,34,9,19,2,17,7,0,2.22,60,29,-0.24,59.6,27.3,0,44,24,4,0,0,0,133,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8568.089687,-2399.613936,https://fbref.com/req/202302030/images/headshots/934e1968_2022.jpg
499,https://fbref.com/en/players/e514ab62/Matt-Targett,120250500,Matt Targett,ENG,DF,Newcastle Utd,28,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,187,49,9,10,4,4,1,1,0.1,0,0,1,1,15,0,0,0,0,1,0,0,0,0,0,14,0,0,0,3,8,6,0,17,0,0,0,4,12,6,0,0,0,0,12,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,16,1.5,1,0,3.76,0.3,0.3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9842.291713,617.9892029,https://fbref.com/req/202302030/images/headshots/e514ab62_2022.jpg
500,https://fbref.com/en/players/15ea812b/James-Tarkowski,120250501,James Tarkowski,ENG,DF,Everton,31,33,33,2922,32.5,1,1,0,0,6,0,1.3,1.3,2.9,9,75,3,15,4,8.4,-0.3,38,32,2,0,4,0,0,4,4,0,0,0,0,0,1045,1290,22119,8229,337,399,525,571,173,276,2.4,16,83,11,0,1204,77,46,2,13,1,3,0,0,0,0,1045,9,12,355,974,635,106,57,1706,7,5,2,727,3610,1943,10,0,13,7,927,64,40,39,22,3,24,39,15,42,15,41,213,4,31,0,0,1.15,34,38,-0.48,35.5,39.5,0,35,28,2,0,1,0,98,102,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14132.87805,1122.810654,https://fbref.com/req/202302030/images/headshots/15ea812b_2022.jpg
501,https://fbref.com/en/players/5c0da4a4/Marcus-Tavernier,120250502,Marcus Tavernier,ENG,FW,Bournemouth,25,29,20,1939,21.5,3,5,0,0,6,0,5.5,5.5,4,53,128,129,57,17,21.1,-2.5,98,68,12,3,10,5,0,11,5,3,0,2,1,0,689,934,11654,3481,334,387,280,352,60,127,3.6,43,80,40,14,804,125,34,5,9,108,29,49,36,4,1,689,5,26,20,135,468,622,58,1196,65,28,31,705,4335,2068,51,9,46,47,790,43,24,15,19,9,10,27,17,3,13,5,11,0,11,9,0,1.45,29,29,-0.73,36.1,25.3,0,34,28,4,0,0,0,119,26,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3062.594094,-1391.672396,https://fbref.com/req/202302030/images/headshots/5c0da4a4_2022.jpg
502,https://fbref.com/en/players/cc2d7ad5/Charlie-Taylor,120250503,Charlie Taylor,ENG,DF,Southampton,30,8,3,356,4,0,0,0,0,1,0,0,0,0.1,3,9,7,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,196,223,3602,910,70,75,103,112,20,28,0.2,1,9,3,1,192,30,7,0,0,9,21,2,1,1,0,196,1,3,35,121,120,39,2,279,2,2,0,116,500,187,3,0,1,1,172,7,5,4,3,0,5,7,2,5,3,5,31,1,3,5,6,0.13,3,12,-0.78,3.8,9.7,0,2,3,0,0,0,0,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6275.105194,415.3976118,https://fbref.com/req/202302030/images/headshots/cc2d7ad5_2022.jpg
