,names,x,y
113,Sam Johnstone,1337.8324741076217,4766.390006514347
114,Sergio G?mez,-12163.571701051065,610.1646039595489
115,Thilo Kehrer,-12748.179827276394,797.0651128560062
116,Tommy Doyle,3369.8009155272944,-531.5444247141378
117,Wilson Odobert,-5313.722230929426,-1950.6006486424844
118,Andrew Omobamidele,-7283.441843652166,369.2883050726874
119,F?bio Silva,-11951.549387823918,525.455084864934
120,Ameen Al-Dakhil,-2286.3315871308423,-137.12034374798066
121,Chris Richards,1581.5668434467132,363.03654071851554
122,David Datro Fofana,-10953.086486028771,36.941417688702415
123,Dean Henderson,-3549.6629680635283,3028.731546167437
124,Emerson,1805.6006989782254,-561.5333438091934
125,Eric Dier,-10495.473838734879,1064.7389215659603
126,Ethan Pinnock,11920.221291496106,-485.5002736031226
127,James Mcatee,-6597.766473722458,-960.9329101600214
128,Jorginho,-619.1250820257677,138.06420815201028
129,Lewis Cook,9313.225953636964,5.0690383166484
130,Lewis Dunk,43558.7879970508,463.0540970873797
131,Lucas Digne,5084.785202509349,-85.59529939286571
132,Mark Flekken,26235.352563373348,10317.079620838584
133,N?lson Semedo,11851.714247671265,-2181.8593819159046
134,Neal Maupay,-8094.08430598729,-246.86245275156614
135,Ola Aina,-1728.12214642312,263.42190444290475
136,Ryan Christie,7724.815522139217,-2063.447192307338
137,Ryan Yates,-1558.91814255577,-342.4290117913083
138,Sergio Reguil?n,-1705.0428840685004,375.5773123853187
139,Tariq Lamptey,-6897.586453801827,-817.2869413191369
140,Zeki Amdouni,-5857.012452622117,-1413.7092109512885
141,?lex Moreno,-5713.692956264673,-536.1691830615449
142,Arnaut Danjuma,-11104.494346277737,109.87666239691355
143,Bernd Leno,22070.36566044403,7692.4372884566255
144,Callum Wilson,-11345.757305974957,84.27480636649724
145,Cameron Archer,-9059.867072799829,-807.7197159754526
146,Cameron Archer1,-12794.840112892754,761.8737486655557
147,James Tarkowski,15388.716349109152,1499.9009627573985
148,Kyle Walker,25301.37176920555,-4071.217769705758
149,Trevoh Chalobah,-49.51903235750732,364.0540888713415
150,Tyrone Mings,-12703.859719545335,838.5611085662667
151,Valent?n Barco,-10029.63253989265,558.7749982579788
152,Wataru Endo,6300.019666771829,-761.8460196146558
153,Bryan Gil,-10860.695581037355,271.80877349689155
154,Jos? S?,8148.930560334724,4162.685037483325
155,Justin Kluivert,-7593.63479437985,-877.4031580728116
156,Pablo Fornals,-10023.401300636193,468.8194250479372
157,Albert Sambi Lokonga,-656.0557762081628,-498.5236696944725
158,Andrey Santos,-12746.466222447421,792.3960191096161
159,Carney Chukwuemeka,-11225.799762880184,342.4190953112021
160,Conor Bradley,-5887.052012586727,-222.17136821487358
161,Elliot Anderson,-7115.405003171501,-519.3638572681672
162,Harrison Reed,-2667.863597765133,-304.2709005649332
163,Jacob Murphy,-6741.099879471724,86.67890322208426
164,Jean-Ricner Bellegarde,-8901.81536404543,-342.56711457627597
165,Keane Lewis-Potter,-7859.64972331819,-953.5239946741983
166,Kenny Tete,-5633.663449743429,800.2092218283569
167,Kristoffer Ajer,-1434.3889262053738,397.77627474392955
168,Matheus Fran?a,-11735.034687020512,412.6505487350774
169,Morgan Rogers,-10184.90271902657,391.9812932485429
170,Nathan Patterson,-5815.616478617323,1022.3511022096021
171,Nuno Tavares,-9458.435108018582,546.272889668571
172,Oliver Skipp,-7251.157262080656,402.8282617131488
173,Reiss Nelson,-11011.696075725247,284.01538215466627
174,Romain Faivre,-12517.2659133467,710.5051036612457
175,Tyler Adams,-11801.161180930962,693.338284449752
176,Victor Lindel?f,1431.024139066821,-609.6990535054528
177,Calvin Bassey,17102.388774701893,-265.54648198233076
178,Diego Carlos,13098.00860153344,1111.1256362542326
179,Giovani Lo Celso,-5352.973489817498,-2.818687664557058
180,Jack Hinshelwood,-6469.308744887293,-397.2429556402813
181,Max Aarons,-4475.4575028419895,329.49597475912316
182,Moussa Niakhate,-204.65746157141427,570.6386722520107
183,Nick Pope,-3616.2136131798447,2685.4654040879236
184,Davinson S?nchez,-11689.278424607235,758.7558068113116
185,Hamed Junior Traor?,-12557.658856759756,702.8642026960689
186,Harry Wilson,-4479.438872525843,-1271.6673057140567
187,Igor,11213.611930063154,-870.2635800338115
188,Luis Sinisterra,-9055.02784853157,-497.76121238919114
189,Neco Williams,-3382.7569506983737,78.69503280727692
190,Nicol?s Dom?nguez,-1084.3021546661157,-44.61881243885837
191,Timo Werner,-8116.602648354669,-880.5362897581388
192,Timothy Castagne,10363.163224028856,265.8424315331917
193,Amad Diallo,-10711.267080362175,53.454745401212215
194,Bart Verbruggen,5200.35305327642,5100.54765006819
195,Billy Gilmour,18640.583322663475,-2621.803211910362
196,Callum Hudson-Odoi,-2544.7142401813585,-2524.8805711990567
197,Christian N?rgaard,7890.684689464652,-116.43228838307135
198,Daniel Mu?oz,-4340.235020358709,454.746038106896
199,Enes ?nal,-12034.03984730768,621.0511519284947
200,Facundo Buonanotte,-7224.771558597226,-759.6441718546791
201,Harry Maguire,6270.963308673347,-6.863365213734135
202,Jack Harrison,-5768.924915866368,-386.64364652564586
203,Jan Paul van Hecke,30292.35476376064,-776.2315817885791
204,Lewis Hall,-4305.022868136995,731.7156167938007
205,Lloyd Kelly,1855.3153314107678,176.0759827591683
206,Odsonne ?douard,-9237.649594477749,-364.52545204849923
207,Solly March,-9368.008384983346,310.91668836064486
208,Thomas Partey,-2903.3051865407383,-264.02853870942346
209,?or?e Petrovi?,4153.009376057166,4229.0966976570935
210,Aaron Wan-Bissaka,-798.0149321667734,-278.47057398927274
211,Adam Webster,5883.2987465894075,-194.81028813020248
212,Alex Scott,-6433.063190475952,-341.9028118507561
213,Andreas Pereira,5138.676618151288,-737.3358392200066
214,Beto,-11116.264673238864,142.60480933659443
215,Caoimh?n Kelleher,-3114.5262786772814,2654.01972501121
216,Casemiro,9381.424204225386,898.444083044003
217,Dango Ouattara,-5988.022343427005,-360.7318204198121
218,Issa Diop,6793.331141506703,-35.71216155911391
219,Jean-Philippe Mateta,-8278.204441485294,-647.9752317020755
220,Jefferson Lerma,4380.121906165889,-79.61255127991812
221,Jhon Dur?n,-11616.92530794455,440.42680054344476
222,Konstantinos Mavropanos,-1996.0715263569414,742.155532308044
223,Marcus Tavernier,-515.4681141706415,-1484.554658525688
224,Miguel Almir?n,-2695.0017859979025,-2171.174498237274
225,Milos Kerkez,-1762.1288048727135,-275.68761490889807
226,Nicol? Zaniolo,-10192.199773468703,-281.06229454286205
227,Orel Mangala,-3159.515204617017,-357.2299291455775
228,Rico Henry,-10278.844303509895,546.2476494052646
229,Robert S?nchez,1220.3088308634512,3872.754546459537
230,Rodrigo Muniz,-10563.957579263342,303.98759883081516
231,Sa?d Benrahma,-9846.115027393662,-294.4528416157743
232,Sander Berge,13099.287218874104,-3497.530586107644
233,Tosin Adarabioyo,10453.11746099668,552.942337286657
234,Anthony Elanga,-4901.674569661502,-2075.179882519515
235,Armando Broja,-11520.622976400084,192.28913269320708
236,Carlos Baleba,-1511.0175546529265,-1269.0377481859225
237,Dominic Calvert-Lewin,-9350.721198004949,-548.6161713047345
238,Dwight McNeil,4188.3889218007735,-1461.0656891265166
239,Emile Smith Rowe,-10180.63641831907,187.6085624537167
240,Fabio Vieira,-10731.479628989062,401.9552812789319
241,James Garner,4529.308092621856,-1067.8622861486035
242,Jarell Quansah,7773.855252339134,-637.1009102415551
243,Jordan Pickford,28119.650547960424,12997.182188713365
244,Julio Enciso,-10593.383445546297,84.86948097362051
245,Kevin Schade,-11848.367658382587,439.60057849348203
246,Lewis Miley,-5766.4175009473565,-195.54370584501333
247,Marcos Senesi,11741.10582833122,1369.2941265933707
248,Philip Billing,-6160.917055033922,-43.76529952808047
249,Sofyan Amrabat,-1799.3491792748002,-334.9661687658493
250,Vitaly Janelt,6126.982953318154,-612.4124984402621
251,Aaron Ramsdale,-8791.48498430498,1779.1374119589411
252,Alex Iwobi,3294.650146654801,-1996.4365355310367
253,Ansu Fati,-10238.801859869141,129.95006232259738
254,Antonee Robinson,17735.541102377614,-1008.1026114141147
255,Antony,-5601.178556133121,-1355.3838105300968
256,Kalvin Phillips,-8995.637140167362,222.25208859775475
257,Lesley Ugochukwu,-10120.864646568807,474.258338528914
258,Marc Cucurella,3461.1345695798486,-412.66277994634834
259,Nathan Collins,13094.729682421941,614.0308126290375
260,Oscar Bobb,-10592.444730057261,344.4713025899474
261,Radu Dr?gu?in,-6638.6101471185575,265.64791457329557
262,Sean Longstaff,3934.982220137119,-249.2282926198672
263,Tyrick Mitchell,8012.660102494498,1512.9876193386528
264,Youri Tielemans,1241.6377481466975,-220.15701355870024
265,Aaron Hickey,-8728.672255547468,126.4164098990781
266,Alisson,12406.92588995085,5438.817769481919
267,Ben Chilwell,-7006.248085625996,-33.80532669188756
268,Joe Gomez,7659.719926447269,-1543.7304356202992
269,Mathias Jensen,6168.3589444494555,797.2109588450747
270,Matty Cash,4953.755593749275,-1217.8571069791242
271,Noni Madueke,-6360.151646037733,-1414.6256138905353
272,Taiwo Awoniyi,-11052.60432144279,255.87641202856264
273,Vitaliy Mykolenko,2387.520919601922,1238.0371245763313
274,Yoane Wissa,-7755.543947920048,-771.731706240005
275,Adam Wharton,-4117.7736829285095,318.6245858085749
276,Andrew Robertson,10567.588955189567,-350.15078865813723
277,Beno?t Badiashile,7756.0987447325715,985.9370930702747
278,Eddie Nketiah,-10283.404741767767,-175.0010956613943
279,Ibrahim Sangar?,-6875.755943272538,343.66043621168495
280,Jadon Sancho,-12312.340044130384,620.4552978318521
281,Jakub Kiwior,-3533.3852571061207,770.6916826619513
282,James Ward-Prowse,12137.479223204873,-384.593830404682
283,Joe Willock,-10450.23907425719,382.0833129683208
284,John McGinn,7051.706957270555,-1001.4597005741118
285,Mateo Kova?i?,9260.722049363987,-3136.140875003852
286,Pervis Estupi??n,105.82890187157655,-512.4239480986762
287,Simon Adingra,-2724.9469504311187,-2665.9994298438096
288,Tom?? Sou?ek,-559.5405862485136,303.750258252941
289,Virgil van Dijk,41666.670257833386,924.6366566588694
290,Luke Shaw,-3663.814634970482,608.235998256976
291,Max Kilman,27617.363926331946,11.632874418969172
292,Scott McTominay,-4259.629062524669,-496.9710082119079
293,Andr? Onana,20123.082609940462,7655.923315457524
294,Cheick Doucour?,-6597.147582111088,447.20442915495516
295,Curtis Jones,-1689.6574881183203,-1459.6979407032634
296,David Raya,11030.849817844943,6781.367048990085
297,Diogo Dalot,14413.709058534801,-813.7347886551036
298,Edson ?lvarez,6039.709741027997,-1261.2510983823424
299,Ezri Konsa,22157.336040519403,-884.1518996930668
300,Guglielmo Vicario,17495.51822592645,5841.137214545195
301,Harvey Barnes,-9351.234116761188,-275.52833995138917
302,Harvey Elliott,1310.97459718087,-1603.3855778070363
303,Jacob Ramsey,-8622.568062855476,-294.0352459946383
304,Jo?o Gomes,3798.2872358260483,-1242.6296993800058
305,Joachim Andersen,29017.682342565684,1230.9365961575377
306,Leandro Trossard,-4154.900620472967,-1316.6301978515046
307,Malo Gusto,6546.74327394361,-1785.7347328085882
308,Mason Mount,-10148.326069974131,430.8589121127903
309,Murillo,13471.555701078589,1714.997137669791
310,Nayef Aguerd,9603.071612027727,1672.7020107573458
311,Nicolas Jackson,-5096.446802629294,-1955.7504259185387
312,Raheem Sterling,-4295.370812693779,-2311.931646716618
313,Rayan A?t-Nouri,2714.855888471091,-1726.2286361554843
314,Rodrigo Bentancur,-1968.755838261066,-720.0458249487552
315,Rom?o Lavia,-12481.513048285864,716.3455401347256
316,Ryan Gravenberch,-6474.779931489559,-430.4264125185845
317,Takehiro Tomiyasu,-3135.928261134584,-234.45857074051753
318,Yves Bissouma,14634.968340829228,-2464.961015950809
319,Boubacar Kamara,2427.4675874650006,-859.0140996428672
320,John Stones,424.79555144018,-1253.6491553672795
321,Jurri?n Timber,-11795.53090893552,629.8499961774233
322,Marc Gu?hi,11968.978081336778,450.5027700625887
323,Oleksandr Zinchenko,12139.780921877264,-979.8998610455294
324,Richarlison,-8579.064865227281,-211.8241585444596
325,Rico Lewis,-5407.691077794553,-805.6341732433278
326,Sandro Tonali,-8808.635828046925,186.10514705712734
327,Axel Disasi,24523.944787307515,-877.1920178283972
328,Bryan Mbeumo,-3627.188371181551,-1360.2733544492046
329,Dominic Solanke,-6720.44457570075,-1362.6635428140537
330,Ederson,18011.22908387791,8270.5420837755
331,Ian Maatsen,-11334.00394805835,512.7156670352199
332,Joelinton,-4854.374106844086,-447.48136974677556
333,Morgan Gibbs-White,7748.182398429322,-1295.8150511314218
334,Nathan Ak?,16001.44447313792,-980.5565467485484
335,Reece James,-7989.969248245852,406.7664448848802
336,Jarrad Branthwaite,9777.905137607502,1458.4119885246278
337,Leon Bailey,-2347.221029368746,-1899.3210685891347
338,Alejandro Garnacho,-1754.1311105249547,-4619.227714091683
339,Destiny Udogie,6039.84815938053,-2031.0729068725639
340,Ibrahima Konat?,12794.15506903521,238.50218187763895
341,Jo?o Pedro,-2851.1075139692675,-2385.8176190063923
342,Kaoru Mitoma,-5262.352787710049,-2238.1973560173838
343,Lisandro Mart?nez,-5305.608010635412,109.52194617076535
344,Manuel Akanji,25695.435348337694,-3279.667643102465
345,Matheus Cunha,-2322.7269393689244,-2516.8059067069385
346,Pape Matar Sarr,5894.320530561194,-2600.6387496869484
347,Pau Torres,19694.765810242654,-2366.2272745951987
348,Pedro Porro,17718.976094043028,418.93379804954
349,Sven Botman,5936.931217339529,1339.373030311687
350,Brennan Johnson,-3655.284382633357,-1839.8624058847117
351,Amadou Onana,2796.03422372728,-606.9062558782817
352,Cody Gakpo,-5779.8083134499775,-834.8541922784052
353,Conor Gallagher,15772.153696703055,-3940.877786288174
354,Diogo Jota,-8243.412731202328,-561.8450548020492
355,Evan Ferguson,-9585.43226158664,-298.4541035312539
356,Jarrod Bowen,-4600.944050395326,-1918.6390104586562
357,Kevin De Bruyne,-202.3181097971564,-625.6506754282264
358,Kobbie Mainoo,-1357.8362377559995,-1038.7373153008098
359,Levi Colwill,5241.315119480103,255.58360147740683
360,Matheus Nunes,-6115.36733481342,-1145.7496822558826
361,Mohammed Kudus,-123.02327918324664,-3932.347725386741
362,Ben White,17806.291034611466,97.59974158645682
363,Dejan Kulusevski,2865.492084014058,-3532.032511719557
364,Eberechi Eze,-213.70205821720165,-1598.4502434030383
365,Jo?o Palhinha,7432.0758047948675,-339.43139287173415
366,Michael Olise,-2986.123429544256,-1146.066719979145
367,Micky van de Ven,19845.500045480516,-465.6579783181067
368,Mohamed Salah,-328.30818589915424,-1968.7157340731937
369,Pedro Neto,-3264.5801984867585,-2112.9520282750273
370,Anthony Gordon,1387.7150698010041,-3144.843175803092
371,Cristian Romero,33546.26789488671,204.54160871925905
372,Jack Grealish,-4956.703616756094,-2083.7562386697564
373,Marcus Rashford,-3769.4865142409135,-2000.1267320740415
374,Christopher Nkunku,-10584.624068299514,457.7992751725547
375,Gabriel Jesus,-6897.421317033927,-1076.9125738580972
376,Jeremy Doku,-1348.010746668428,-4448.562169791989
377,Lucas Paquet?,5692.477783028145,-492.7174506908493
378,Ollie Watkins,-6289.949253861362,-1532.8192795359967
379,Rasmus H?jlund,-8674.25224809528,-505.9485224693623
380,Bernardo Silva,14409.739693376623,-5026.070826571673
381,Bruno Fernandes,18606.02937296666,-285.28113149017713
382,Darwin N??ez,-7354.938877831944,-976.230422737656
383,Douglas Luiz,20549.122341709288,-3363.5654676240392
384,Gabriel Magalh?es,22043.782617727975,-700.598732818089
385,Gabriel Martinelli,-482.42741038981995,-3220.5586847347336
386,James Maddison,8936.423096651026,-1698.0611762475785
387,Kai Havertz,-2264.4329113045474,-1172.2729081184495
388,Trent Alexander-Arnold,20944.60606380521,1596.4236716670664
389,Alexander Isak,-6607.430158827779,-1174.8246459294407
390,Alexis Mac Allister,15910.828571187529,-1810.287728233214
391,Dominik Szoboszlai,9118.852728877542,-2558.8356341654608
392,Enzo Fern?ndez,18192.874010649884,-1640.4217792242089
393,Jo?ko Gvardiol,14222.918651793176,-2929.137736805593
394,Luis D?az,2777.6490871433075,-3918.331146931229
395,Mois?s Caicedo,18891.96922176019,-1778.1951012712186
396,Cole Palmer,8136.089714951083,-2533.407872472047
397,R?ben Dias,34173.41142442247,-3029.3818460442762
398,William Saliba,35338.083337390635,-223.29838498290806
399,Bruno Guimar?es,23711.082046366464,-4040.3513154816064
400,Juli?n ?lvarez,2303.5295663074003,-2308.125827877071
401,Martin ?degaard,15784.760284549968,-2718.383888852407
402,Declan Rice,24593.439191623525,-4254.613985422919
403,Rodri,48501.561277258355,-4707.9697152157705
404,Bukayo Saka,6183.877526896016,-3342.3366189120916
405,Phil Foden,9133.069098284059,-4483.583328089249
406,Erling Haaland,-9193.661098041528,-445.28616027333396
